zipcode,num_fires_2017_2019,avg_acres,min_acres,avg_distance_m,min_distance_m
90012,2,3526.178899526596,1.006724834442139,165181.07381341036,14314.380959394559
90013,1,1.006724834442139,1.006724834442139,165479.09282303916,15318.901373815212
90014,1,1.006724834442139,1.006724834442139,165488.30414947588,14581.987694519123
90015,1,1.006724834442139,1.006724834442139,165541.3734042604,13811.970400422311
90016,2,186.15717101097107,1.006724834442139,165974.33499931984,10621.223328259888
90017,1,1.006724834442139,1.006724834442139,165309.88384558904,13001.723731069436
90018,2,186.15717101097107,1.006724834442139,165818.04162515787,11795.756670781111
90019,2,186.15717101097107,1.006724834442139,165451.46528499952,8952.750512697892
90020,3,2474.5551387468972,1.006724834442139,165065.85822936302,8829.987270830832
90022,1,0.301123946905136,0.301123946905136,166081.26749534326,15181.813586173406
90024,5,75.10111037939787,0.027753792703152,165682.50649633998,4614.737705807642
90025,5,75.10111037939787,0.027753792703152,166297.66258476392,5919.860714087811
90026,2,3526.178899526596,1.006724834442139,164942.32283649326,11622.044084361161
90028,3,2474.5551387468972,1.006724834442139,164580.40311189144,5312.940920151859
90031,3,2350.8668301304183,0.242691338062286,165144.6515553824,16025.452530118462
90032,1,0.242691338062286,0.242691338062286,165350.67627637408,14275.957855404078
90034,2,186.15717101097107,1.006724834442139,166231.93935191343,9690.695380632807
90036,3,2474.5551387468972,1.006724834442139,165058.6465769281,6356.740708920439
90037,1,1.006724834442139,1.006724834442139,166354.22059465264,15685.316620794501
90038,3,2474.5551387468972,1.006724834442139,164725.02338273512,6026.5450954794305
90042,2,3525.796882778406,0.242691338062286,165066.45743546006,12080.338933328481
90043,1,1.006724834442139,1.006724834442139,166936.01302053264,15340.78718051283
90045,1,371.3076171875,371.3076171875,168691.6763133277,17021.077244439035
90046,4,5760.702975153923,1.006724834442139,164499.68091854735,2034.8249623693005
90048,3,2474.5551387468972,1.006724834442139,165087.21401054604,5525.666472129195
90049,8,46.97261562105268,0.025269888341427,165865.35997094787,1873.4832458401345
90057,2,3526.178899526596,1.006724834442139,165147.94639290124,11445.594075484156
90062,1,1.006724834442139,1.006724834442139,166400.43262151358,14643.619381180886
90064,3,124.71018807093303,1.006724834442139,166299.27760385556,7678.793670241156
90066,3,124.71018807093303,1.006724834442139,167413.2359517805,11010.091010285647
90071,1,1.006724834442139,1.006724834442139,165324.88942738916,13711.192790178908
90210,4,1856.3704096078873,1.006724834442139,164846.07996834765,4170.940780411564
90230,2,186.15717101097107,1.006724834442139,167149.64803555753,12901.353594647037
90241,3,0.22049713631471,0.113159507513046,167841.53930097242,13933.446084077852
90242,1,0.301123946905136,0.301123946905136,168336.059253176,15948.810259116284
90291,3,124.38386439035337,0.027753792703152,168135.9201830848,11246.387846865437
90401,6,62.4506728152434,0.025269888341427,167898.75496150312,9171.761535977737
90404,6,62.588470297555126,0.025269888341427,167193.31429566324,7547.220246587623
90405,4,93.53957950137556,0.027753792703152,167614.66407704292,9267.431779818582
90601,4,0.19526776112616073,0.113159507513046,167208.4118142778,3566.2438084458386
90602,5,5.804572363197804,0.113159507513046,167749.1905113016,3830.7788910936947
90603,6,5.5782644512752695,0.113159507513046,168537.1590476564,3939.2990810732554
90620,3,0.15998236586650233,0.113159507513046,171134.35371363585,14817.824471974118
90631,6,5.5782644512752695,0.113159507513046,169155.04900335494,3932.6130778437782
90638,5,5.804572363197804,0.113159507513046,169412.72257141813,8864.156648246892
90640,3,0.22049713631471,0.113159507513046,166470.1676760504,10875.882332762289
90650,3,0.22049713631471,0.113159507513046,168885.27669179285,12626.781820836326
90670,4,0.19526776112616073,0.113159507513046,168268.9161102123,9425.638981948949
91001,3,2365.5699896216393,0.242691338062286,166012.78119428546,3951.023090777813
91016,3,61.35581217209498,0.242691338062286,168007.4331446433,9435.307605971702
91040,3,7557.168094476064,1.006724834442139,165081.5285198943,4053.0386886540305
91104,3,2365.5699896216393,0.242691338062286,165941.79530900175,3437.606955614772
